Time,Pleth
53:04.5,10.57
53:04.5,7.7
53:04.6,6.05
53:04.6,6.41
53:04.6,7.17
53:04.6,8.2
53:04.7,9.51
53:04.7,10.79
53:04.7,11.73
53:04.7,12.37
53:04.7,12.02
53:04.7,11.56
53:04.8,11.02
53:04.8,10.59
53:04.8,10.68
53:04.8,12.3
53:04.8,12.47
53:04.9,10.46
53:04.9,7.41
53:04.9,3.89
53:04.9,0.57
53:05.0,-20.72
53:05.0,102.02
53:05.0,113.14
53:05.0,8.34
53:05.0,-47.03
53:05.1,-46.14
53:05.1,-41.67
53:05.1,-35.55
53:05.1,-27.42
53:05.1,-18.6
53:05.2,-5.8
53:05.2,8.41
53:05.2,14.88
53:05.2,11.53
53:05.2,6.06
53:05.3,3
53:05.3,1.65
53:05.3,1.41
53:05.3,1.3
53:05.3,1.68
53:05.4,2.38
53:05.4,3.61
53:05.4,4.98
53:05.4,6.39
53:05.4,7.17
53:05.5,7.67
53:05.5,7.75
53:05.5,8
53:05.5,10.22
53:05.5,16.22
53:05.6,21.29
53:05.6,16.7
53:05.6,11.96
53:05.6,8.55
53:05.6,6.03
53:05.6,-9.29
53:05.7,39.78
53:05.7,115.42
53:05.7,-10.08
53:05.7,-47.24
53:05.8,-42.1
53:05.8,-38.04
53:05.8,-32.09
53:05.8,-26.3
53:05.8,-19.86
53:05.8,-9.7
53:05.9,4.72
53:05.9,12.98
53:05.9,9.99
53:05.9,3.85
53:06.0,-1.81
53:06.0,-4.51
53:06.0,-5.17
53:06.0,-5.11
53:06.0,-4.06
53:06.0,-1.93
53:06.0,1.28
53:06.1,5.09
53:06.1,7.23
53:06.1,8.32
53:06.1,8.88
53:06.2,8.92
53:06.2,9.16
53:06.2,10.31
53:06.2,13.56
53:06.3,15.16
53:06.3,11.69
53:06.3,6.91
53:06.3,3.67
53:06.3,0.72
53:06.3,-19.54
53:06.4,123.59
53:06.4,93.97
53:06.4,-19.02
53:06.4,-45.79
53:06.5,-42.04
53:06.5,-36.65
53:06.5,-31.65
53:06.5,-26.28
53:06.5,-17.97
53:06.5,-3.67
53:06.6,12.12
53:06.6,17.57
53:06.6,12.83
53:06.6,6.33
53:06.6,2.93
53:06.7,1.56
53:06.7,0.98
53:06.7,0.98
53:06.7,0.99
53:06.8,1.94
53:06.8,3.06
53:06.8,4.79
53:06.8,6.05
53:06.8,7.52
53:06.9,8.28
53:06.9,7.93
53:06.9,7.71
53:06.9,7.97
53:06.9,10.25
53:06.9,11.65
53:06.9,9.03
53:07.0,4.69
53:07.0,1.73
53:07.0,0.57
53:07.0,-9.81
53:07.1,36.59
53:07.1,145.2
53:07.1,-19.89
53:07.1,-57.82
53:07.1,-52.19
53:07.2,-46.26
53:07.2,-39.64
53:07.2,-33.29
53:07.2,-26.09
53:07.2,-14.33
53:07.3,2.37
53:07.3,16.06
53:07.3,14
53:07.3,9.32
53:07.3,4.81
53:07.4,2.49
53:07.4,1.87
53:07.4,1.59
53:07.4,1.43
53:07.4,2.2
53:07.4,3.52
53:07.5,4.7
53:07.5,5.61
53:07.5,7.06
53:07.5,7.92
53:07.5,8.49
53:07.6,8.62
53:07.6,8.7
53:07.6,10.17
53:07.6,13.8
53:07.7,13.5
53:07.7,10.16
53:07.7,5.88
53:07.7,2.79
53:07.7,-2.29
53:07.8,-26.36
53:07.8,193.84
53:07.8,54.14
53:07.8,-53.77
53:07.8,-59.51
53:07.9,-54.41
53:07.9,-48.41
53:07.9,-40.25
53:07.9,-31.5
53:07.9,-20.56
53:08.0,-4.51
53:08.0,8.96
53:08.0,13.01
53:08.0,9.38
53:08.1,4.98
53:08.1,1.66
53:08.1,0.47
53:08.1,0.3
53:08.1,0.22
53:08.2,0.39
53:08.2,0.7
53:08.2,1.67
53:08.2,2.61
53:08.2,3.42
53:08.2,4.53
53:08.2,5.43
53:08.3,6.1
53:08.3,6.57
53:08.3,7.35
53:08.3,10.53
53:08.4,12.48
53:08.4,9.11
53:08.4,4.98
53:08.4,1.83
53:08.4,0.6
53:08.4,-14.63
53:08.5,76.53
53:08.5,105.08
53:08.5,-4
53:08.5,-46.38
53:08.5,-43.55
53:08.6,-39.56
53:08.6,-33.04
53:08.8,-27.7
53:08.8,-20.12
53:08.8,-6.61
53:08.8,8.89
53:08.8,15.85
53:08.8,12.45
53:08.8,6.49
53:08.8,2.09
53:08.8,0.58
53:08.8,0.35
53:08.8,0.25
53:08.8,0.66
53:08.9,1.8
53:08.9,3.09
53:08.9,5.25
53:08.9,6.81
53:09.0,7.85
53:09.0,8.2
53:09.0,8.15
53:09.0,8.93
53:09.0,11.59
53:09.0,15.65
53:09.0,13.26
53:09.2,9.97
53:09.2,6.19
53:09.2,3.89
53:09.2,-4.12
53:09.2,14.52
53:09.2,155.51
53:09.2,5.15
53:09.2,-51.46
53:09.2,-44.98
53:09.3,-40.17
53:09.3,-34.36
53:09.3,-29.98
53:09.3,-25.09
53:09.4,-15.64
53:09.4,-1.1
53:09.4,11.05
53:09.4,11.67
53:09.4,7.22
53:09.5,2.03
53:09.5,-0.46
53:09.5,-1.12
53:09.5,-1.08
53:09.5,-1.06
53:09.5,0.16
53:09.5,2.08
53:09.6,4.79
53:09.6,7.42
53:09.6,9.19
53:09.6,9.84
53:09.6,10.19
53:09.7,12.14
53:09.7,17.02
53:09.7,14.8
53:09.7,9.68
53:09.8,5.06
53:09.8,1.64
53:09.8,-4.98
53:09.8,-24.5
53:09.8,183.92
53:09.9,40.65
53:09.9,-55.7
53:09.9,-55.97
53:09.9,-51.14
53:09.9,-45.17
53:09.9,-38.3
53:10.0,-29.93
53:10.0,-20.68
53:10.0,-5.85
53:10.0,8.24
53:10.1,12.13
53:10.1,7.42
53:10.1,3.24
53:10.1,1.21
53:10.1,0.72
53:10.2,0.5
53:10.2,0.62
53:10.2,1.12
53:10.2,2.12
53:10.3,3.26
53:10.3,4.48
53:10.3,5.73
53:10.3,6.66
