Time,Pleth
37:28.7,-105
37:28.7,-104
37:28.8,-102
37:28.8,-101
37:28.8,-100
37:28.8,-98
37:28.8,-97
37:28.8,-97
37:28.8,-96
37:28.9,-96
37:28.9,-96
37:28.9,-96
37:28.9,-96
37:28.9,-94
37:29.0,-94
37:29.0,-93
37:29.0,-94
37:29.0,-93
37:29.0,-94
37:29.1,-94
37:29.1,-94
37:29.1,-92
37:29.1,-91
37:29.1,-92
37:29.2,-93
37:29.2,-93
37:29.2,-94
37:29.2,-94
37:29.2,-93
37:29.3,-92
37:29.3,-92
37:29.3,-91
37:29.3,-88
37:29.3,-87
37:29.4,-89
37:29.4,-94
37:29.4,-105
37:29.4,-117
37:29.5,-130
37:29.5,-140
37:29.5,-148
37:29.5,-152
37:29.5,-153
37:29.6,-150
37:29.6,-147
37:29.6,-139
37:29.6,-132
37:29.6,-128
37:29.7,-126
37:29.7,-122
37:29.7,-121
37:29.7,-120
37:29.7,-117
37:29.8,-112
37:29.8,-110
37:29.8,-106
37:29.8,-103
37:29.8,-100
37:29.8,-97
37:29.9,-94
37:29.9,-91
37:29.9,-89
37:29.9,-86
37:30.0,-89
37:30.0,-96
37:30.0,-107
37:30.0,-117
37:30.0,-127
37:30.0,-134
37:30.1,-138
37:30.1,-140
37:30.1,-138
37:30.1,-138
37:30.1,-135
37:30.2,-129
37:30.2,-124
37:30.2,-118
37:30.2,-114
37:30.3,-110
37:30.3,-108
37:30.3,-106
37:30.3,-105
37:30.3,-104
37:30.3,-103
37:30.4,-99
37:30.4,-97
37:30.4,-93
37:30.4,-94
37:30.5,-97
37:30.5,-101
37:30.5,-107
37:30.5,-110
37:30.5,-110
37:30.5,-109
37:30.6,-105
37:30.6,-101
37:30.6,-98
37:30.6,-98
37:30.7,-97
37:30.7,-96
37:30.7,-96
37:30.7,-96
37:30.7,-97
37:30.7,-97
37:30.8,-95
37:30.8,-96
37:30.8,-95
37:30.8,-93
37:30.8,-93
37:30.9,-92
37:30.9,-89
37:30.9,-90
37:30.9,-89
37:30.9,-89
37:31.0,-90
37:31.0,-91
37:31.0,-92
37:31.0,-92
37:31.0,-93
37:31.1,-94
37:31.1,-95
37:31.1,-97
37:31.1,-106
37:31.2,-117
37:31.2,-131
37:31.2,-145
37:31.2,-157
37:31.2,-165
37:31.2,-173
37:31.3,-176
37:31.3,-178
37:31.3,-177
37:31.3,-172
37:31.3,-165
37:31.4,-156
37:31.4,-148
37:31.4,-144
37:31.4,-138
37:31.4,-135
37:31.5,-131
37:31.5,-126
37:31.5,-122
37:31.5,-118
37:31.5,-114
37:31.6,-109
37:31.6,-105
37:31.6,-100
37:31.6,-98
37:31.6,-96
37:31.7,-92
37:31.7,-90
37:31.7,-91
37:31.7,-94
37:31.7,-99
37:31.8,-106
37:31.8,-112
37:31.8,-117
37:31.8,-120
37:31.8,-119
37:31.9,-119
37:31.9,-115
37:31.9,-111
37:31.9,-106
37:31.9,-102
37:31.9,-100
37:32.0,-100
37:32.0,-99
37:32.0,-99
37:32.0,-98
37:32.1,-96
37:32.1,-95
37:32.1,-92
37:32.1,-89
37:32.1,-88
37:32.2,-88
37:32.2,-91
37:32.2,-97
37:32.2,-102
37:32.2,-108
37:32.3,-111
37:32.3,-112
37:32.3,-109
37:32.3,-103
37:32.3,-97
37:32.4,-94
37:32.4,-91
37:32.4,-91
37:32.4,-92
37:32.4,-94
37:32.5,-94
37:32.5,-94
37:32.5,-95
37:32.5,-94
37:32.5,-93
37:32.6,-91
37:32.6,-87
37:32.6,-89
37:32.6,-93
37:32.6,-101
37:32.7,-108
37:32.7,-117
37:32.7,-124
37:32.7,-128
37:32.7,-127
37:32.7,-126
37:32.8,-122
37:32.8,-118
37:32.8,-112
37:32.8,-109
37:32.8,-107
37:32.9,-107
37:32.9,-106
37:32.9,-105
37:32.9,-104
37:33.0,-101
37:33.0,-101
37:33.0,-100
37:33.0,-100
37:33.0,-104
37:33.0,-112
37:33.1,-116
37:33.1,-118
37:33.1,-119
37:33.1,-115
37:33.2,-108
37:33.2,-105
37:33.2,-103
37:33.2,-100
37:33.2,-101
37:33.3,-99
37:33.3,-99
37:33.3,-99
37:33.3,-98
37:33.4,-97
37:33.4,-96
37:33.4,-94
37:33.4,-93
37:33.4,-91
37:33.4,-89
37:33.4,-88
37:33.5,-86
37:33.5,-84
37:33.5,-83
37:33.5,-83
37:33.5,-84
37:33.6,-85
37:33.6,-85
37:33.6,-85
37:33.7,-86
37:33.7,-86
37:33.7,-86
37:33.7,-87
37:33.7,-87
37:33.7,-89
37:33.8,-92
37:33.8,-102
37:33.8,-117
37:33.8,-133
37:33.8,-147
37:33.9,-158
37:33.9,-166
37:33.9,-171
37:33.9,-174
37:33.9,-175
37:34.0,-172
37:34.0,-166
37:34.0,-158
37:34.0,-152
37:34.1,-144
37:34.1,-138
37:34.1,-132
37:34.1,-128
37:34.1,-123
37:34.2,-119
37:34.2,-114
37:34.2,-109
37:34.2,-104
37:34.2,-101
37:34.3,-98
37:34.3,-94
37:34.3,-91
37:34.3,-88
37:34.3,-87
37:34.3,-84
37:34.4,-81
37:34.4,-80
37:34.4,-78
37:34.4,-77
37:34.4,-78
37:34.4,-79
37:34.5,-80
37:34.5,-86
37:34.5,-94
37:34.5,-104
37:34.6,-112
37:34.6,-119
37:34.6,-125
37:34.6,-129
37:34.6,-130
37:34.6,-128
37:34.7,-126
37:34.7,-123
37:34.7,-118
37:34.7,-113
37:34.8,-112
37:34.8,-108
37:34.8,-106
37:34.8,-103
37:34.8,-102
37:34.8,-101
37:34.9,-100
37:34.9,-99
37:34.9,-99
37:34.9,-98
37:34.9,-95
37:35.0,-93
37:35.0,-92
37:35.0,-91
37:35.0,-89
37:35.1,-88
37:35.1,-88
37:35.1,-88
37:35.1,-89
37:35.1,-89
37:35.2,-89
37:35.2,-89
37:35.2,-88
37:35.2,-90
37:35.3,-91
37:35.3,-91
37:35.3,-92
37:35.3,-94
37:35.3,-92
37:35.3,-93
37:35.4,-92
37:35.4,-93
37:35.4,-93
37:35.4,-97
37:35.4,-104
37:35.4,-118
37:35.5,-131
37:35.5,-142
37:35.5,-152
37:35.5,-157
37:35.5,-161
37:35.6,-165
37:35.6,-166
37:35.6,-165
37:35.7,-161
37:35.7,-155
37:35.7,-147
37:35.7,-140
37:35.7,-135
37:35.7,-130
37:35.8,-127
37:35.8,-123
37:35.8,-119
37:35.8,-116
37:35.9,-115
37:35.9,-113
37:35.9,-111
37:35.9,-107
37:35.9,-104
37:35.9,-102
37:35.9,-97
