Time,Pleth
23:58.2,-151
23:58.2,-139
23:58.2,-128
23:58.2,-120
23:58.3,-112
23:58.3,-106
23:58.3,-99
23:58.3,-93
23:58.3,-85
23:58.4,-81
23:58.4,-77
23:58.4,-71
23:58.4,-67
23:58.4,-63
23:58.4,-60
23:58.5,-61
23:58.5,-71
23:58.5,-86
23:58.5,-107
23:58.5,-127
23:58.6,-145
23:58.6,-161
23:58.6,-175
23:58.6,-184
23:58.7,-189
23:58.7,-190
23:58.7,-185
23:58.7,-178
23:58.7,-168
23:58.8,-155
23:58.8,-143
23:58.8,-132
23:58.8,-122
23:58.8,-112
23:58.8,-105
23:58.9,-98
23:58.9,-91
23:58.9,-86
23:58.9,-80
23:58.9,-74
23:59.0,-69
23:59.0,-64
23:59.0,-61
23:59.0,-58
23:59.1,-56
23:59.1,-59
23:59.1,-71
23:59.1,-88
23:59.1,-109
23:59.2,-131
23:59.2,-148
23:59.2,-163
23:59.2,-177
23:59.3,-184
23:59.3,-187
23:59.3,-187
23:59.3,-183
23:59.3,-174
23:59.4,-160
23:59.4,-148
23:59.4,-137
23:59.4,-126
23:59.4,-117
23:59.5,-108
23:59.5,-100
23:59.5,-96
23:59.5,-90
23:59.5,-84
23:59.6,-80
23:59.6,-74
23:59.6,-69
23:59.6,-64
23:59.6,-59
23:59.7,-55
23:59.7,-52
23:59.7,-49
23:59.7,-48
23:59.7,-47
23:59.8,-47
23:59.8,-46
23:59.8,-50
23:59.8,-61
23:59.8,-81
23:59.9,-106
23:59.9,-132
23:59.9,-155
23:59.9,-175
23:59.9,-192
24:00.0,-204
24:00.0,8525
24:00.0,-9827
24:00.0,-8865
24:00.0,-9091
24:00.0,-9834
24:00.1,-10770
24:00.1,10101
24:00.1,420
24:00.1,-3959
24:00.1,-5735
24:00.1,-6248
24:00.2,-6168
24:00.2,-5827
24:00.2,-5385
24:00.2,-4917
24:00.2,-4461
24:00.3,-4034
24:00.3,-3642
24:00.3,-3286
24:00.3,-2962
24:00.3,-2666
24:00.4,-2404
24:00.4,-2167
24:00.4,-1954
24:00.4,-1768
24:00.4,-1611
24:00.5,-1476
24:00.5,-1362
24:00.5,-1259
24:00.5,-1166
24:00.5,-1079
24:00.6,7737
24:00.6,-10538
24:00.6,-9507
24:00.6,-9667
24:00.6,-10352
24:00.7,10606
24:00.7,9676
24:00.7,8775
24:00.7,-808
24:00.7,-5080
24:00.8,-6752
24:00.8,-7169
24:00.8,-6999
24:00.8,-6573
24:00.8,-6055
24:00.9,-5521
24:00.9,-5005
24:00.9,-4524
24:00.9,-4081
24:01.0,-3681
24:01.0,-3319
24:01.0,-2991
24:01.0,-2705
24:01.0,-2458
24:01.1,-2242
24:01.1,-2048
24:01.1,-1874
24:01.1,7021
24:01.1,10659
24:01.2,-10093
24:01.2,-10198
24:01.2,-10834
24:01.2,10166
24:01.2,9276
24:01.3,8415
24:01.3,7608
24:01.3,6863
24:01.3,-2555
24:01.4,-6666
24:01.4,-8185
24:01.4,-8461
24:01.4,-8161
24:01.4,-7621
24:01.5,-6997
24:01.5,-6367
24:01.5,-5768
24:01.5,-5206
24:01.5,-4695
24:01.6,-4230
24:01.6,-3812
24:01.6,-3434
24:01.6,-3094
24:01.6,-2785
24:01.7,-2507
24:01.7,-2261
24:01.7,-2037
24:01.7,-1835
24:01.7,-1652
24:01.7,-1491
24:01.7,-1350
24:01.8,-1232
24:01.8,-1136
24:01.8,-1056
24:01.8,-987
24:01.8,-927
24:01.9,-872
24:01.9,-823
24:01.9,7963
24:01.9,-10339
24:01.9,-9332
24:02.0,-9517
24:02.0,-10223
24:02.0,10719
24:02.0,9778
24:02.0,8864
24:02.1,8011
24:02.1,-1509
24:02.1,-5720
24:02.1,-7328
24:02.1,-7689
24:02.2,-7470
24:02.2,-6998
24:02.2,-6436
24:02.2,-5862
24:02.2,-5311
24:02.3,-4801
24:02.3,-4331
24:02.3,-3903
24:02.3,-3515
24:02.3,-3164
24:02.4,-2848
24:02.4,-2565
24:02.4,-2310
24:02.4,-2082
24:02.4,-1876
24:02.5,-1689
24:02.5,-1522
24:02.5,-1373
24:02.5,-1241
24:02.6,-1121
24:02.6,-1012
24:02.6,-916
24:02.6,-829
24:02.6,-751
24:02.7,-681
24:02.7,-618
24:02.7,-560
24:02.7,-510
24:02.7,-476
24:02.8,-455
24:02.8,-444
24:02.8,-438
24:02.8,-430
24:02.9,-422
24:02.9,-415
24:02.9,-406
24:02.9,-396
24:02.9,-387
24:03.0,-374
24:03.0,-357
24:03.0,-337
24:03.0,-314
24:03.0,-287
24:03.0,-261
24:03.1,-237
24:03.1,-217
24:03.1,-201
24:03.1,-186
24:03.1,-175
24:03.2,-162
24:03.2,-150
24:03.2,-137
24:03.2,-124
24:03.2,-114
24:03.2,-107
24:03.3,-99
24:03.3,-91
24:03.3,-85
24:03.3,-80
24:03.4,-75
24:03.4,-71
24:03.4,-67
24:03.4,-62
24:03.4,-58
24:03.5,-59
24:03.5,-64
24:03.5,-80
24:03.5,-101
24:03.5,-124
24:03.5,-145
24:03.6,-163
24:03.6,-179
24:03.6,-192
24:03.6,-202
24:03.7,-207
24:03.7,8527
24:03.7,-9823
24:03.7,-8855
24:03.8,4038
24:03.8,-194
24:03.8,-2090
24:03.8,-2838
24:03.8,-3034
24:03.8,-2970
24:03.8,-2798
24:03.9,-2582
24:03.9,-2356
24:03.9,-2138
24:03.9,-1933
24:04.0,-1747
24:04.0,-1578
24:04.0,-1424
24:04.0,-1284
24:04.0,-1158
24:04.1,-1047
24:04.1,-947
24:04.1,-854
24:04.1,-770
24:04.1,-697
24:04.1,-638
24:04.2,-593
24:04.2,-564
24:04.2,-542
24:04.2,-521
24:04.3,-502
24:04.3,-482
24:04.3,-462
24:04.3,-443
24:04.4,8315
24:04.4,-10016
24:04.4,-9032
24:04.4,-9232
24:04.4,-9953
24:04.5,2235
24:04.5,-2223
24:04.5,-4120
24:04.5,-4769
24:04.5,-4824
24:04.5,-4607
24:04.6,-4280
24:04.6,-3922
24:04.6,-3565
24:04.6,-3227
24:04.6,-2914
24:04.7,-2627
24:04.7,-2368
24:04.7,-2135
24:04.7,-1924
24:04.7,-1732
24:04.8,-1562
24:04.8,-1410
24:04.8,-1271
24:04.8,-1144
24:04.8,-1032
24:04.9,-938
24:04.9,-864
24:04.9,-806
24:04.9,-757
24:05.0,-717
24:05.0,-680
24:05.0,-643
24:05.0,-612
24:05.0,-577
24:05.0,-545
24:05.0,8225
24:05.1,-10092
24:05.1,-9097
24:05.1,-9289
24:05.1,3105
24:05.1,-1301
24:05.2,-3221
24:05.2,-3925
24:05.2,-4048
24:05.2,-3904
24:05.2,-3645
24:05.3,-3346
24:05.3,-3044
24:05.3,-2759
24:05.3,-2494
24:05.3,-2249
24:05.4,-2026
24:05.4,-1824
24:05.4,-1644
24:05.4,-1484
24:05.5,-1339
24:05.5,-1208
24:05.5,-1088
24:05.5,-983
24:05.5,-890
24:05.6,-805
24:05.6,-727
24:05.6,-657
24:05.6,-593
24:05.6,-541
24:05.7,-499
24:05.7,-473
24:05.7,-457
24:05.7,-446
24:05.7,-438
24:05.7,-427
24:05.8,-419
24:05.8,-409
24:05.8,-395
24:05.8,-382
24:05.9,-367
24:05.9,-349
24:05.9,-328
24:05.9,-303
24:05.9,-276
24:05.9,-251
24:06.0,-229
24:06.0,-209
24:06.0,-190
24:06.0,-172
24:06.0,-159
24:06.1,-147
24:06.1,-136
24:06.1,-125
24:06.1,-115
24:06.1,-106
24:06.2,-95
24:06.2,-87
24:06.2,-79
24:06.2,-73
24:06.3,-67
24:06.3,-62
24:06.3,-61
24:06.3,-66
24:06.4,-78
24:06.4,-97
24:06.4,-117
24:06.4,-136
24:06.4,-154
24:06.4,-166
24:06.4,-175
24:06.5,-183
24:06.5,-184
24:06.5,-183
24:06.5,-175
24:06.6,-166
24:06.6,-153
24:06.6,-139
24:06.6,-126
24:06.7,-115
24:06.7,-106
24:06.7,-99
24:06.7,-92
24:06.7,-88
24:06.8,-84
24:06.8,-78
24:06.8,-75
24:06.8,-71
24:06.8,-68
24:06.9,-64
24:06.9,-61
24:06.9,-59
24:06.9,-57
24:06.9,-55
24:06.9,-53
24:06.9,-51
24:07.0,-50
24:07.0,-50
24:07.0,-49
24:07.0,-49
24:07.0,-48
24:07.1,-50
24:07.1,-58
24:07.1,-75
24:07.1,-99
24:07.2,-122
24:07.2,-145
24:07.2,-165
24:07.2,-182
24:07.2,-195
24:07.2,-202
24:07.3,-205
24:07.3,-207
24:07.3,-204
24:07.3,-197
24:07.4,-185
24:07.4,-170
24:07.4,-154
24:07.4,-140
24:07.5,-131
24:07.5,-123
24:07.5,-116
24:07.5,-110
24:07.5,-102
24:07.6,-95
24:07.6,-88
24:07.6,-81
24:07.6,-76
24:07.6,-69
24:07.6,-66
24:07.6,-62
24:07.7,-58
24:07.7,-55
24:07.7,-55
24:07.7,-58
24:07.7,-68
24:07.8,-87
24:07.8,-111
24:07.8,-132
24:07.8,-150
24:07.9,-165
24:07.9,-176
24:07.9,-183
24:07.9,-187
24:07.9,-187
24:08.0,-184
24:08.0,-176
24:08.0,-163
24:08.0,-148
24:08.1,-134
24:08.1,-123
24:08.1,-114
24:08.1,-108
24:08.1,-100
24:08.1,-93
24:08.1,-86
24:08.2,-81
24:08.2,-75
24:08.2,-70
24:08.2,-65
24:08.2,-63
24:08.3,-64
24:08.3,-70
24:08.3,-85
24:08.3,-103
24:08.3,-121
24:08.4,-138
24:08.4,-152
24:08.4,-160
24:08.4,-166
24:08.5,-168
24:08.5,-165
24:08.5,-158
24:08.5,-147
24:08.5,-133
24:08.6,-122
24:08.6,-112
24:08.6,-103
24:08.6,-93
24:08.6,-87
24:08.7,-83
24:08.7,-78
24:08.7,-73
24:08.7,-69
24:08.8,-66
24:08.8,-64
24:08.8,-62
24:08.8,-59
24:08.8,-55
24:08.8,-52
24:08.9,-49
24:08.9,-48
24:08.9,-47
24:08.9,-46
24:08.9,-46
24:08.9,-45
24:09.0,-44
24:09.0,-43
24:09.0,-43
24:09.0,-43
24:09.0,-44
24:09.1,-44
24:09.1,-45
24:09.1,-45
24:09.1,-44
24:09.1,-45
24:09.2,-44
24:09.2,-45
24:09.2,-45
24:09.2,-46
24:09.2,-47
24:09.3,-49
24:09.3,-57
24:09.3,-76
24:09.3,-95
24:09.4,-116
24:09.4,-136
24:09.4,-154
24:09.4,-167
24:09.4,-179
24:09.5,-186
24:09.5,-191
24:09.5,-193
24:09.5,-192
24:09.5,-190
24:09.5,-184
24:09.6,-175
24:09.6,-165
24:09.6,-158
24:09.6,-150
24:09.7,-142
24:09.7,-135
24:09.7,-128
24:09.7,-122
24:09.7,-115
24:09.8,-109
24:09.8,-105
24:09.8,-102
24:09.8,-98
24:09.8,-94
24:09.8,-91
24:09.9,-87
24:09.9,-83
24:09.9,-79
24:09.9,-75
24:10.0,-73
24:10.0,-69
24:10.0,-66
24:10.0,-64
24:10.0,-63
24:10.1,-61
24:10.1,-59
24:10.1,-59
24:10.1,-58
24:10.1,-57
24:10.1,-57
24:10.2,-56
24:10.2,-56
24:10.2,-53
24:10.2,-52
24:10.3,-52
24:10.3,-52
24:10.3,-53
24:10.3,-59
24:10.3,-71
24:10.4,-88
24:10.4,-102
24:10.4,-116
24:10.4,-127
24:10.4,-135
24:10.5,-142
24:10.5,-147
24:10.5,-150
24:10.5,-152
24:10.5,-153
24:10.5,-154
24:10.6,-152
24:10.6,-148
24:10.6,-141
24:10.6,-137
24:10.7,-131
24:10.7,-128
24:10.7,-123
24:10.7,-120
24:10.7,-115
24:10.7,-112
24:10.8,-109
24:10.8,-107
24:10.8,-106
24:10.8,-102
24:10.8,-99
24:10.9,-95
24:10.9,-92
24:10.9,-89
24:10.9,-87
24:11.0,-85
24:11.0,-84
24:11.0,-82
24:11.0,-80
24:11.0,-79
24:11.0,-76
24:11.1,-78
24:11.1,-86
24:11.1,-98
24:11.1,-109
24:11.2,-119
24:11.2,-128
24:11.2,-134
24:11.2,-140
24:11.2,-144
24:11.2,-145
24:11.3,-145
24:11.3,-145
24:11.3,-142
24:11.3,-141
24:11.3,-135
24:11.4,-131
24:11.4,-129
24:11.4,-124
24:11.4,-121
24:11.5,-118
24:11.5,-114
24:11.5,-111
24:11.5,-106
24:11.5,-103
24:11.5,-100
24:11.6,-98
24:11.6,-96
24:11.6,-94
24:11.6,-91
