Time,Pleth
38:33.3,-137
38:33.3,-142
38:33.3,-146
38:33.3,-151
38:33.4,-151
38:33.4,-151
38:33.4,-149
38:33.4,-146
38:33.4,-142
38:33.5,-140
38:33.5,-137
38:33.5,-136
38:33.5,-134
38:33.6,-133
38:33.6,-130
38:33.6,-127
38:33.6,-123
38:33.6,-122
38:33.7,-121
38:33.7,-119
38:33.7,-116
38:33.7,-114
38:33.7,-115
38:33.7,-115
38:33.7,-114
38:33.8,-112
38:33.8,-107
38:33.8,-107
38:33.8,-106
38:33.8,-107
38:33.9,-105
38:33.9,-102
38:33.9,-103
38:33.9,-102
38:33.9,-102
0:38:34,-100
0:38:34,-98
0:38:34,-99
0:38:34,-100
0:38:34,-100
38:34.1,-100
38:34.1,-99
38:34.1,-98
38:34.2,-97
38:34.2,-97
38:34.2,-97
38:34.2,-96
38:34.2,-94
38:34.3,-93
38:34.3,-93
38:34.3,-93
38:34.3,-92
38:34.3,-93
38:34.4,-93
38:34.4,-92
38:34.4,-92
38:34.4,-92
38:34.4,-92
38:34.4,-94
38:34.4,-92
38:34.5,-93
38:34.5,-94
38:34.5,-93
38:34.5,-94
38:34.5,-93
38:34.6,-95
38:34.6,-98
38:34.6,-105
38:34.6,-113
38:34.6,-122
38:34.7,-130
38:34.7,-136
38:34.7,-141
38:34.7,-146
38:34.8,-149
38:34.8,-151
38:34.8,-151
38:34.8,-149
38:34.8,-145
38:34.8,-142
38:34.9,-142
38:34.9,-141
38:34.9,-140
38:34.9,-138
38:34.9,-134
0:38:35,-131
0:38:35,-131
0:38:35,-129
38:35.1,-126
38:35.1,-123
38:35.1,-119
38:35.1,-120
38:35.1,-119
38:35.1,-117
38:35.1,-116
38:35.2,-114
38:35.2,-115
38:35.3,-114
38:35.3,-111
38:35.3,-109
38:35.3,-106
38:35.3,-106
38:35.3,-106
38:35.3,-104
38:35.4,-102
38:35.4,-100
38:35.4,-101
38:35.4,-101
38:35.4,-102
38:35.5,-100
38:35.5,-100
38:35.5,-99
38:35.5,-97
38:35.5,-96
38:35.6,-97
38:35.6,-97
38:35.6,-94
38:35.6,-95
38:35.6,-95
38:35.7,-96
38:35.7,-96
38:35.7,-95
38:35.7,-95
38:35.8,-95
38:35.8,-97
38:35.8,-97
38:35.8,-98
38:35.8,-97
38:35.8,-97
38:35.8,-97
38:35.9,-95
38:35.9,-96
38:35.9,-96
38:35.9,-99
0:38:36,-109
0:38:36,-120
0:38:36,-129
0:38:36,-136
38:36.1,-143
38:36.1,-147
38:36.1,-150
38:36.1,-151
38:36.1,-153
38:36.2,-152
38:36.2,-151
38:36.2,-149
38:36.2,-146
38:36.2,-143
38:36.3,-141
38:36.3,-139
38:36.3,-140
38:36.3,-137
38:36.3,-134
38:36.4,-130
38:36.4,-126
38:36.4,-124
38:36.4,-125
38:36.4,-121
38:36.5,-117
38:36.5,-115
38:36.5,-116
38:36.5,-115
38:36.5,-113
38:36.6,-111
38:36.6,-108
38:36.6,-109
38:36.6,-112
38:36.6,-115
38:36.7,-117
38:36.7,-115
38:36.7,-113
38:36.7,-111
38:36.7,-108
38:36.8,-107
38:36.8,-106
38:36.8,-104
38:36.8,-103
38:36.8,-101
38:36.8,-100
38:36.9,-99
38:36.9,-98
38:36.9,-97
38:36.9,-96
38:36.9,-97
38:36.9,-97
0:38:37,-96
0:38:37,-96
0:38:37,-96
0:38:37,-95
0:38:37,-95
38:37.1,-95
38:37.1,-96
38:37.1,-97
38:37.1,-98
38:37.2,-98
38:37.2,-98
38:37.2,-96
38:37.2,-95
38:37.2,-95
38:37.3,-94
38:37.3,-93
38:37.3,-93
38:37.3,-92
38:37.3,-92
38:37.4,-92
38:37.4,-92
38:37.4,-91
38:37.4,-93
38:37.4,-94
38:37.5,-93
38:37.5,-95
38:37.5,-95
38:37.5,-95
38:37.6,-95
38:37.6,-94
38:37.6,-94
38:37.6,-93
38:37.6,-92
38:37.7,-95
38:37.7,-101
38:37.7,-110
38:37.7,-119
38:37.7,-128
38:37.7,-136
38:37.7,-141
38:37.8,-147
38:37.8,-151
38:37.8,-151
38:37.8,-149
38:37.9,-147
38:37.9,-148
38:37.9,-146
38:37.9,-144
0:38:38,-142
0:38:38,-139
0:38:38,-138
0:38:38,-138
0:38:38,-137
0:38:38,-134
38:38.1,-130
38:38.1,-126
38:38.1,-125
38:38.1,-123
38:38.1,-120
38:38.1,-118
38:38.2,-117
38:38.2,-116
38:38.2,-116
38:38.2,-115
38:38.2,-114
38:38.3,-110
38:38.3,-109
38:38.3,-110
38:38.3,-109
38:38.4,-108
38:38.4,-105
38:38.4,-105
38:38.4,-104
38:38.4,-103
38:38.4,-102
38:38.5,-100
38:38.5,-99
38:38.5,-98
38:38.5,-98
38:38.6,-98
38:38.6,-98
38:38.6,-97
38:38.6,-99
38:38.6,-99
38:38.6,-98
38:38.7,-97
38:38.7,-98
38:38.7,-97
38:38.7,-97
38:38.8,-96
38:38.8,-94
38:38.8,-93
38:38.8,-93
38:38.8,-93
38:38.9,-97
38:38.9,-104
38:38.9,-113
38:38.9,-122
38:38.9,-130
38:38.9,-137
0:38:39,-144
0:38:39,-149
0:38:39,-149
0:38:39,-151
0:38:39,-152
38:39.1,-149
38:39.1,-147
38:39.1,-143
38:39.1,-140
38:39.1,-139
38:39.2,-137
38:39.2,-136
38:39.2,-136
38:39.2,-136
38:39.3,-133
38:39.3,-130
38:39.3,-127
38:39.3,-125
38:39.3,-122
38:39.4,-123
38:39.4,-120
38:39.4,-118
38:39.4,-115
38:39.4,-114
38:39.5,-114
38:39.5,-113
38:39.5,-114
38:39.5,-114
38:39.5,-115
38:39.6,-121
38:39.6,-128
38:39.6,-134
38:39.6,-139
38:39.6,-143
38:39.6,-144
38:39.7,-143
38:39.7,-140
38:39.7,-136
38:39.7,-134
38:39.8,-134
38:39.8,-133
38:39.8,-132
38:39.8,-130
38:39.8,-128
38:39.9,-124
38:39.9,-120
38:39.9,-118
38:39.9,-117
38:39.9,-116
0:38:40,-115
0:38:40,-113
0:38:40,-109
0:38:40,-108
0:38:40,-107
38:40.1,-107
38:40.1,-107
38:40.1,-108
38:40.1,-105
38:40.1,-108
38:40.2,-113
38:40.2,-119
38:40.2,-127
38:40.2,-133
38:40.2,-139
38:40.2,-142
38:40.3,-142
38:40.3,-141
38:40.3,-140
38:40.3,-138
38:40.4,-135
38:40.4,-133
38:40.4,-132
38:40.4,-129
38:40.4,-127
38:40.5,-123
38:40.5,-120
38:40.5,-118
38:40.5,-116
38:40.5,-114
38:40.6,-112
38:40.6,-111
38:40.6,-110
38:40.6,-109
38:40.6,-107
38:40.6,-104
38:40.7,-101
38:40.7,-101
38:40.7,-102
38:40.7,-101
38:40.8,-101
38:40.8,-99
38:40.8,-97
38:40.8,-97
38:40.8,-96
38:40.9,-97
38:40.9,-102
38:40.9,-107
38:40.9,-112
38:40.9,-119
0:38:41,-127
0:38:41,-132
0:38:41,-137
0:38:41,-139
0:38:41,-136
0:38:41,-132
38:41.1,-129
38:41.1,-127
38:41.1,-127
38:41.1,-125
38:41.1,-125
38:41.2,-121
38:41.2,-120
38:41.2,-117
38:41.2,-114
38:41.2,-114
38:41.3,-112
38:41.3,-113
38:41.3,-112
38:41.3,-109
38:41.4,-107
38:41.4,-102
38:41.4,-101
38:41.4,-99
38:41.4,-99
38:41.4,-98
38:41.5,-96
38:41.5,-96
38:41.5,-95
38:41.5,-95
38:41.5,-97
38:41.6,-100
38:41.6,-102
38:41.6,-106
38:41.6,-114
38:41.6,-120
38:41.7,-126
38:41.7,-130
38:41.7,-132
38:41.7,-132
38:41.8,-128
38:41.8,-125
38:41.8,-123
38:41.8,-122
38:41.8,-120
38:41.9,-119
38:41.9,-119
38:41.9,-118
38:41.9,-116
38:41.9,-112
38:41.9,-109
0:38:42,-106
0:38:42,-104
0:38:42,-103
0:38:42,-102
38:42.1,-101
38:42.1,-99
38:42.1,-98
38:42.1,-96
38:42.1,-95
38:42.1,-94
38:42.2,-93
38:42.2,-93
38:42.2,-92
38:42.2,-94
38:42.2,-96
38:42.3,-102
38:42.3,-109
38:42.3,-116
38:42.3,-122
38:42.4,-128
38:42.4,-128
38:42.4,-132
38:42.4,-133
38:42.4,-134
38:42.4,-132
38:42.5,-127
38:42.5,-124
38:42.5,-123
38:42.5,-122
38:42.5,-121
38:42.6,-118
38:42.6,-116
38:42.6,-114
38:42.6,-112
38:42.7,-108
38:42.7,-105
38:42.7,-103
38:42.7,-102
38:42.7,-102
38:42.7,-101
38:42.8,-101
38:42.8,-99
38:42.8,-97
38:42.8,-96
38:42.9,-94
38:42.9,-92
38:42.9,-92
38:42.9,-91
38:42.9,-91
38:42.9,-91
0:38:43,-91
0:38:43,-91
0:38:43,-92
0:38:43,-92
0:38:43,-91
0:38:43,-89
38:43.1,-88
38:43.1,-88
38:43.1,-87
38:43.2,-88
38:43.2,-93
38:43.2,-99
38:43.2,-107
38:43.2,-114
38:43.2,-121
38:43.2,-127
38:43.3,-132
38:43.3,-136
38:43.3,-137
38:43.3,-135
38:43.3,-131
38:43.4,-127
38:43.4,-126
38:43.4,-125
38:43.4,-125
38:43.5,-124
38:43.5,-122
38:43.5,-121
38:43.5,-120
38:43.5,-118
38:43.6,-117
38:43.6,-114
38:43.6,-110
38:43.6,-106
38:43.6,-106
38:43.7,-104
38:43.7,-102
38:43.7,-99
38:43.7,-97
38:43.8,-97
38:43.8,-97
38:43.8,-99
38:43.8,-99
38:43.8,-99
38:43.8,-100
38:43.9,-98
38:43.9,-97
38:43.9,-94
38:43.9,-93
0:38:44,-92
0:38:44,-90
0:38:44,-90
0:38:44,-91
0:38:44,-90
0:38:44,-92
38:44.1,-91
38:44.1,-91
38:44.1,-91
38:44.1,-90
38:44.1,-91
38:44.2,-93
38:44.2,-93
38:44.2,-95
38:44.2,-97
38:44.2,-100
38:44.2,-101
38:44.3,-100
38:44.3,-99
38:44.3,-99
38:44.3,-98
38:44.4,-97
38:44.4,-96
38:44.4,-96
38:44.4,-96
38:44.4,-95
38:44.4,-94
38:44.5,-93
38:44.5,-92
38:44.5,-95
38:44.5,-96
38:44.6,-97
38:44.6,-96
38:44.6,-95
38:44.6,-94
38:44.6,-96
38:44.6,-96
38:44.7,-97
38:44.7,-99
38:44.7,-101
38:44.7,-102
38:44.7,-100
38:44.8,-99
38:44.8,-96
38:44.8,-96
38:44.8,-96
38:44.9,-96
38:44.9,-98
38:44.9,-98
38:44.9,-98
38:44.9,-99
0:38:45,-98
0:38:45,-98
0:38:45,-97
0:38:45,-96
0:38:45,-94
38:45.1,-95
38:45.1,-96
38:45.1,-95
38:45.1,-95
38:45.1,-95
38:45.2,-95
38:45.2,-94
38:45.2,-94
38:45.2,-92
38:45.2,-92
38:45.2,-92
38:45.3,-92
38:45.3,-92
38:45.3,-91
38:45.3,-93
38:45.4,-94
38:45.4,-95
38:45.4,-97
38:45.4,-102
38:45.4,-108
38:45.4,-114
38:45.5,-119
38:45.5,-125
38:45.5,-131
38:45.6,-134
38:45.6,-135
38:45.6,-135
38:45.6,-133
38:45.6,-130
38:45.6,-127
38:45.6,-126
38:45.7,-126
38:45.7,-125
38:45.7,-124
38:45.7,-121
38:45.8,-118
38:45.8,-116
38:45.8,-116
38:45.8,-116
38:45.9,-117
38:45.9,-114
38:45.9,-113
38:45.9,-115
38:45.9,-114
38:45.9,-113
38:45.9,-110
0:38:46,-109
0:38:46,-108
0:38:46,-106
0:38:46,-106
0:38:46,-104
38:46.1,-102
38:46.1,-102
38:46.1,-101
38:46.1,-102
38:46.2,-103
38:46.2,-102
38:46.2,-102
38:46.2,-102
38:46.2,-102
38:46.2,-101
38:46.3,-101
38:46.3,-98
38:46.3,-97
38:46.3,-97
38:46.3,-96
