Time,Pleth
20:01.4,-168
20:01.4,7.76
20:01.4,-76
20:01.4,-75
20:01.4,-74
20:01.4,-74
20:01.4,-74
20:01.4,-73
20:01.4,-72
20:01.4,-71
20:01.4,-72
20:01.4,-71
20:01.4,-70
20:01.4,1574
20:01.4,3796
20:01.4,4605
20:01.4,4738
20:01.4,4557
20:01.4,4245
20:01.4,3890
20:01.5,3535
20:01.5,3192
20:01.5,2876
20:01.5,2588
20:01.5,2326
20:01.6,2088
20:01.6,1874
20:01.6,1682
20:01.6,1507
20:01.7,1348
20:01.7,1208
20:01.7,1082
20:01.7,968
20:01.8,863
20:01.8,768
20:01.8,685
20:01.8,607
20:01.8,535
20:01.8,460
20:01.8,386
20:01.9,319
20:01.9,259
20:01.9,206
20:01.9,160
20:02.0,119
20:02.0,84
20:02.0,53
20:02.1,26
20:02.1,4
20:02.1,-12
20:02.1,-26
20:02.1,-35
20:02.2,-40
20:02.2,-43
20:02.2,-44
20:02.2,-44
20:02.2,-44
20:02.3,-45
20:02.3,-46
20:02.3,-46
20:02.3,-45
20:02.3,-44
20:02.4,-43
20:02.4,-43
20:02.4,-45
20:02.4,-47
20:02.4,-48
20:02.5,-49
20:02.5,-50
20:02.5,-51
20:02.5,-52
20:02.5,-54
20:02.5,-54
20:02.5,-56
20:02.5,-57
20:02.6,-58
20:02.6,-59
20:02.6,-59
20:02.6,-60
20:02.7,-62
20:02.7,-62
20:02.7,-63
20:02.7,-64
20:02.7,-65
20:02.8,-64
20:02.8,-64
20:02.8,-71
20:02.8,-86
20:02.8,-102
20:02.9,-116
20:02.9,-130
20:02.9,-142
20:02.9,-154
20:02.9,-164
20:02.9,-173
20:03.0,-178
20:03.0,-180
20:03.0,-180
20:03.0,-177
20:03.1,-171
20:03.1,-163
20:03.1,-155
20:03.1,-146
20:03.1,-139
20:03.2,-130
20:03.2,-122
20:03.2,-115
20:03.2,-107
20:03.2,-101
20:03.3,-96
20:03.3,-92
20:03.3,-88
20:03.3,-84
20:03.4,-81
20:03.4,-77
20:03.4,-76
20:03.4,-73
20:03.4,-71
20:03.5,-71
20:03.5,-69
20:03.5,-69
20:03.5,-68
20:03.5,-69
20:03.6,-70
20:03.6,-71
20:03.6,-72
20:03.6,-71
20:03.6,-69
20:03.6,-69
20:03.6,-68
20:03.7,-68
20:03.7,-68
20:03.7,-69
20:03.7,-71
20:03.8,-75
20:03.8,-86
20:03.8,-101
20:03.8,-116
20:03.8,-130
20:03.8,-143
20:03.9,-153
20:03.9,-161
20:03.9,-168
20:04.0,-171
20:04.0,-174
11:20:04,-174
11:20:04,-172
11:20:04,-169
20:04.1,-164
20:04.1,-158
20:04.1,-151
20:04.1,-142
20:04.2,-133
20:04.2,-125
20:04.2,-117
20:04.2,-109
20:04.2,-102
20:04.2,-96
20:04.2,-90
20:04.3,-87
20:04.3,-83
20:04.3,-80
20:04.3,-78
20:04.3,-76
20:04.4,-74
20:04.4,-73
20:04.4,-70
20:04.4,-70
20:04.4,-69
20:04.5,-69
20:04.5,-70
20:04.5,-67
20:04.5,-67
20:04.5,-66
20:04.6,-67
20:04.6,-66
20:04.6,-67
20:04.6,-67
20:04.6,-69
20:04.7,-70
20:04.7,-70
20:04.7,-72
20:04.7,-74
20:04.7,-82
20:04.8,-95
20:04.8,-111
20:04.8,-126
20:04.8,-139
20:04.9,-150
20:04.9,-159
20:04.9,-165
20:04.9,-169
20:04.9,-172
20:04.9,-174
20:05.0,-174
20:05.0,-173
20:05.0,-167
20:05.0,-160
20:05.1,-152
20:05.1,-144
20:05.1,-134
20:05.1,-125
20:05.1,-120
20:05.1,-112
20:05.2,-105
20:05.2,-100
20:05.2,-96
20:05.2,-91
20:05.2,-88
20:05.3,-83
20:05.3,-82
20:05.3,-81
20:05.3,-79
20:05.3,-77
20:05.4,-75
20:05.4,-75
20:05.4,-75
20:05.4,-74
20:05.4,-74
20:05.5,-75
20:05.5,-75
20:05.5,-75
20:05.5,-74
20:05.5,-74
20:05.6,-75
20:05.6,-73
20:05.6,-74
20:05.6,-75
20:05.6,-75
20:05.7,-74
20:05.7,-75
20:05.7,-79
20:05.7,-89
20:05.7,-103
20:05.8,-120
20:05.8,-135
20:05.8,-147
20:05.8,-157
20:05.8,-165
20:05.9,-172
20:05.9,-178
20:05.9,-180
20:05.9,-181
20:05.9,-179
20:06.0,-178
20:06.0,-171
20:06.0,-163
20:06.0,-156
20:06.1,-146
20:06.1,-136
20:06.1,-128
20:06.1,-119
20:06.1,-112
20:06.1,-107
20:06.2,-102
20:06.2,-97
20:06.2,-94
20:06.2,-89
20:06.3,-87
20:06.3,-85
20:06.3,-82
20:06.3,-80
20:06.3,-78
20:06.4,-77
20:06.4,-76
20:06.4,-76
20:06.4,-74
20:06.4,-73
20:06.4,-72
20:06.4,-72
20:06.5,-72
20:06.5,-73
20:06.5,-73
20:06.6,-72
20:06.6,-74
20:06.6,-73
20:06.6,-73
20:06.6,-73
20:06.6,-73
20:06.6,-72
20:06.7,-77
20:06.7,-87
20:06.7,-104
20:06.7,-118
20:06.7,-131
20:06.8,-143
20:06.8,-154
20:06.8,-161
20:06.8,-170
20:06.9,-175
20:06.9,-179
20:06.9,-180
20:06.9,-178
20:07.0,-173
20:07.0,-166
20:07.0,-159
20:07.0,-149
20:07.0,-139
20:07.0,-131
20:07.1,-123
20:07.1,-115
20:07.1,-106
20:07.1,-100
20:07.1,-95
20:07.1,-91
20:07.2,-88
20:07.2,-85
20:07.2,-82
20:07.3,-81
20:07.3,-79
20:07.3,-76
20:07.3,-73
20:07.3,-73
20:07.4,-75
20:07.4,-73
20:07.4,-71
20:07.4,-71
20:07.4,-70
20:07.5,-70
20:07.5,-70
20:07.5,-70
20:07.5,-72
20:07.5,-71
20:07.6,-73
20:07.6,-73
20:07.6,-74
20:07.6,-76
20:07.6,-79
20:07.6,-84
20:07.7,-96
20:07.7,-109
20:07.7,-124
20:07.7,-137
20:07.7,-148
20:07.8,-157
20:07.8,-165
20:07.8,-173
20:07.8,-175
20:07.8,-178
20:07.9,-180
20:07.9,-179
20:07.9,-176
20:07.9,-169
20:07.9,-162
20:07.9,-152
20:08.0,-144
20:08.0,-135
20:08.0,-127
20:08.0,-119
20:08.0,-112
20:08.1,-106
20:08.1,-101
20:08.1,-96
20:08.2,-93
20:08.2,-89
20:08.2,-87
20:08.2,-85
20:08.2,-83
20:08.2,-81
20:08.3,-80
20:08.3,-79
20:08.3,-78
20:08.3,-78
20:08.4,-77
20:08.4,-77
20:08.4,-76
20:08.4,-76
20:08.4,-74
20:08.4,-74
20:08.5,-74
20:08.5,-76
20:08.5,-76
20:08.5,-77
20:08.5,-77
20:08.6,-77
20:08.6,-79
20:08.6,-79
20:08.6,-85
20:08.7,-98
20:08.7,-110
20:08.7,-123
20:08.7,-137
20:08.7,-150
20:08.8,-159
20:08.8,-167
20:08.8,-175
20:08.8,-181
20:08.8,-185
20:08.9,-187
20:08.9,-186
20:08.9,-182
20:08.9,-175
20:08.9,-165
20:08.9,-154
20:08.9,-144
11:20:09,-133
11:20:09,-124
11:20:09,-119
20:09.0,-113
20:09.0,-108
20:09.1,-101
20:09.1,-97
20:09.1,-92
20:09.2,-89
20:09.2,-85
20:09.2,-83
20:09.2,-82
20:09.2,-78
20:09.2,-75
20:09.2,-74
20:09.3,-73
20:09.3,-73
20:09.3,-71
20:09.3,-71
20:09.3,-71
20:09.4,-72
20:09.4,-71
20:09.4,-71
20:09.4,-73
20:09.5,-71
20:09.5,-72
20:09.5,-72
20:09.5,-73
20:09.5,-71
20:09.6,-72
20:09.6,-75
20:09.6,-85
20:09.6,-101
20:09.6,-116
20:09.7,-133
20:09.7,-146
20:09.7,-156
20:09.7,-164
20:09.7,-170
20:09.7,-176
20:09.8,-181
20:09.8,-182
20:09.8,-183
20:09.8,-180
20:09.8,-174
20:09.9,-164
20:09.9,-153
20:09.9,-143
20:09.9,-135
20:10.0,-127
20:10.0,-119
20:10.0,-112
20:10.0,-105
20:10.0,-102
20:10.1,-98
20:10.1,-94
20:10.1,-90
20:10.1,-86
20:10.1,-82
20:10.2,-81
20:10.2,-79
20:10.2,-78
20:10.2,-76
20:10.2,-76
20:10.2,-74
20:10.3,-75
20:10.3,-74
20:10.3,-75
20:10.3,-74
20:10.4,-73
20:10.4,-73
20:10.4,-73
20:10.4,-74
20:10.4,-73
20:10.5,-73
20:10.5,-75
20:10.5,-75
20:10.5,-75
20:10.5,-78
20:10.5,-85
20:10.6,-98
20:10.6,-113
20:10.6,-129
20:10.6,-141
20:10.7,-153
20:10.7,-161
20:10.7,-172
20:10.7,-179
20:10.7,-187
20:10.8,-190
20:10.8,-190
20:10.8,-187
20:10.8,-182
20:10.8,-175
20:10.8,-164
20:10.9,-153
20:10.9,-145
20:10.9,-137
20:10.9,-129
20:11.0,-123
20:11.0,-116
20:11.0,-109
20:11.0,-102
20:11.0,-96
20:11.0,-93
20:11.1,-90
20:11.1,-86
20:11.1,-84
20:11.1,-80
20:11.1,-79
20:11.2,-77
20:11.2,-76
20:11.2,-75
20:11.2,-75
20:11.3,-74
20:11.3,-72
20:11.3,-73
20:11.3,-73
20:11.3,-74
20:11.3,-73
20:11.4,-74
20:11.4,-74
20:11.4,-75
20:11.4,-76
20:11.4,-77
20:11.5,-77
20:11.5,-77
20:11.5,-80
20:11.5,-90
20:11.6,-104
20:11.6,-118
20:11.6,-133
20:11.6,-148
20:11.6,-160
20:11.6,-170
20:11.7,-178
20:11.7,-184
20:11.7,-187
20:11.7,-188
20:11.8,-185
20:11.8,-181
20:11.8,-175
20:11.8,-166
20:11.8,-157
20:11.8,-147
20:11.9,-136
20:11.9,-125
20:11.9,-117
20:11.9,-110
20:12.0,-104
20:12.0,-102
20:12.0,-98
20:12.0,-94
20:12.0,-89
20:12.0,-84
20:12.1,-83
20:12.1,-81
20:12.1,-80
20:12.1,-78
20:12.2,-76
20:12.2,-75
20:12.2,-74
20:12.2,-74
20:12.2,-73
20:12.3,-72
20:12.3,-72
20:12.3,-72
20:12.3,-71
20:12.3,-72
20:12.4,-71
20:12.4,-71
20:12.4,-71
20:12.4,-71
20:12.4,-70
20:12.4,-70
20:12.5,-76
20:12.5,-89
20:12.5,-106
20:12.5,-124
20:12.6,-141
20:12.6,-156
20:12.6,-166
20:12.6,-175
20:12.6,-181
20:12.6,-187
20:12.7,-191
20:12.7,-191
20:12.7,-189
20:12.7,-185
20:12.7,-179
20:12.8,-171
20:12.8,-161
20:12.8,-152
20:12.8,-142
20:12.9,-132
20:12.9,-124
20:12.9,-117
20:12.9,-111
20:12.9,-108
20:12.9,-103
20:13.0,-99
20:13.0,-95
20:13.0,-92
20:13.0,-91
20:13.1,-88
20:13.1,-86
20:13.1,-85
20:13.1,-82
20:13.2,-78
20:13.2,-78
20:13.2,-77
20:13.2,-76
20:13.2,-75
20:13.2,-74
20:13.2,-76
20:13.3,-75
20:13.3,-76
20:13.3,-76
20:13.3,-75
