Time,Pleth
56:11.2,26
56:11.2,-53
56:11.2,-105
56:11.2,-131
56:11.2,-138
56:11.2,-134
56:11.3,-124
56:11.3,-111
56:11.3,-100
56:11.3,-90
56:11.4,-80
56:11.4,-72
56:11.4,-64
56:11.4,-55
56:11.4,-47
56:11.5,-42
56:11.5,-44
56:11.5,-51
56:11.5,-57
56:11.5,-64
56:11.5,-66
56:11.6,-67
56:11.6,-67
56:11.6,-61
56:11.6,-56
56:11.7,-51
56:11.7,-48
56:11.7,-46
56:11.7,-43
56:11.7,-42
56:11.7,-42
56:11.8,-43
56:11.8,-45
56:11.8,-47
56:11.8,-49
56:11.8,-50
56:11.9,-51
56:11.9,-53
56:11.9,-61
56:11.9,-93
56:11.9,-164
56:12.0,-222
56:12.0,-251
56:12.0,-260
56:12.0,-252
56:12.1,-235
56:12.1,-213
56:12.1,-189
56:12.1,-169
56:12.1,-151
56:12.1,-135
56:12.2,-123
56:12.2,-110
56:12.2,-97
56:12.2,-84
56:12.3,-76
56:12.3,-76
56:12.3,-78
56:12.3,-82
56:12.3,-86
56:12.3,-87
56:12.4,-86
56:12.4,-83
56:12.4,-79
56:12.4,-75
56:12.4,-69
56:12.5,-66
56:12.5,-64
56:12.5,-63
56:12.5,-61
56:12.5,-61
56:12.6,-61
56:12.6,-62
56:12.6,-62
56:12.6,-62
56:12.6,-61
56:12.7,-60
56:12.7,-60
56:12.7,-69
56:12.7,-113
56:12.8,-181
56:12.8,-231
56:12.8,-255
56:12.8,-258
56:12.8,-250
56:12.8,-231
56:12.9,-206
56:12.9,-183
56:12.9,-161
56:12.9,-144
56:12.9,-130
56:13.0,-117
56:13.0,-104
56:13.0,-93
56:13.0,-85
56:13.1,-81
56:13.1,-84
56:13.1,-90
56:13.1,-94
56:13.1,-94
56:13.1,-92
56:13.2,-89
56:13.2,-83
56:13.2,-78
56:13.2,-73
56:13.2,-69
56:13.3,-65
56:13.3,-62
56:13.3,-62
56:13.3,-61
56:13.4,-62
56:13.4,-64
56:13.4,-63
56:13.4,-63
56:13.4,-62
56:13.4,-62
56:13.5,-62
56:13.5,-71
56:13.5,-111
56:13.5,-180
56:13.5,-229
56:13.6,-252
56:13.6,-257
56:13.6,-247
56:13.6,-231
56:13.6,-210
56:13.7,-187
56:13.7,-167
56:13.7,-151
56:13.7,-138
56:13.7,-125
56:13.8,-113
56:13.8,-101
56:13.8,-90
56:13.8,-85
56:13.9,-84
56:13.9,-86
56:13.9,-90
56:13.9,-93
56:13.9,-94
56:13.9,-92
56:14.0,-85
56:14.0,-81
56:14.0,-74
56:14.0,-68
56:14.0,-64
56:14.1,-60
56:14.1,-57
56:14.1,-54
56:14.1,-54
56:14.1,-53
56:14.2,-52
56:14.2,-53
56:14.2,-54
56:14.2,-53
56:14.2,-52
56:14.3,-52
56:14.3,-53
56:14.3,-64
56:14.3,-110
56:14.3,-181
56:14.3,-229
56:14.4,-251
56:14.4,-255
56:14.4,-245
56:14.5,-228
56:14.5,-205
56:14.5,-185
56:14.5,-164
56:14.5,-149
56:14.6,-135
56:14.6,-122
56:14.6,-110
56:14.6,-97
56:14.6,-85
56:14.6,-78
56:14.7,-77
56:14.7,-80
56:14.7,-85
56:14.7,-89
56:14.7,-90
56:14.8,-89
56:14.8,-86
56:14.8,-80
56:14.8,-73
56:14.8,-67
56:14.9,-61
56:14.9,-57
56:14.9,-55
56:14.9,-54
56:14.9,-55
56:15.0,-56
56:15.0,-57
56:15.0,-56
56:15.0,-53
56:15.0,-51
56:15.1,-51
56:15.1,-52
56:15.1,-53
56:15.1,-64
56:15.1,-111
56:15.2,-185
56:15.2,-236
56:15.2,-261
56:15.2,-264
56:15.2,-253
56:15.3,-232
56:15.3,-208
56:15.3,-185
56:15.3,-163
56:15.4,-143
56:15.4,-128
56:15.4,-115
56:15.4,-102
56:15.4,-90
56:15.4,-80
56:15.5,-73
56:15.5,-73
56:15.5,-77
56:15.5,-80
56:15.6,-83
56:15.6,-82
56:15.6,-81
56:15.6,-77
56:15.6,-74
56:15.6,-68
56:15.7,-64
56:15.7,-62
56:15.7,-59
56:15.7,-56
56:15.7,-55
56:15.8,-54
56:15.8,-55
56:15.8,-54
56:15.8,-54
56:15.8,-53
56:15.8,-51
56:15.9,-51
56:15.9,-50
56:15.9,-56
56:15.9,-85
56:16.0,-156
56:16.0,-219
56:16.0,-255
56:16.0,-265
56:16.0,-261
56:16.1,-246
56:16.1,-225
56:16.1,-200
56:16.1,-176
56:16.1,-156
56:16.2,-138
56:16.2,-123
56:16.2,-109
56:16.2,-93
56:16.2,-80
56:16.2,-72
56:16.3,-69
56:16.3,-71
56:16.3,-73
56:16.3,-78
56:16.3,-81
56:16.4,-81
56:16.4,-80
56:16.4,-76
56:16.5,-71
56:16.5,-64
56:16.5,-60
56:16.5,-56
56:16.5,-52
56:16.5,-50
56:16.5,-50
56:16.6,-49
56:16.6,-51
56:16.6,-51
56:16.7,-53
56:16.7,-58
56:16.7,-59
56:16.7,-60
56:16.7,-60
56:16.7,-62
56:16.8,-65
56:16.8,-88
56:16.8,-156
56:16.8,-223
56:16.9,-260
56:16.9,-272
56:16.9,-266
56:16.9,-249
56:16.9,-224
56:16.9,-195
56:17.0,-170
56:17.0,-150
56:17.0,-133
56:17.0,-120
56:17.1,-108
56:17.1,-95
56:17.1,-83
56:17.1,-78
56:17.1,-78
56:17.1,-81
56:17.2,-87
56:17.2,-92
56:17.2,-93
56:17.2,-93
56:17.3,-89
56:17.3,-84
56:17.3,-78
56:17.3,-72
56:17.3,-69
56:17.3,-65
56:17.3,-63
56:17.4,-61
56:17.4,-60
56:17.4,-60
56:17.4,-59
56:17.5,-60
56:17.5,-59
56:17.5,-61
56:17.5,-61
56:17.5,-61
56:17.5,-66
56:17.6,-97
56:17.6,-168
56:17.6,-228
56:17.6,-259
56:17.7,-269
56:17.7,-263
56:17.7,-246
56:17.7,-222
56:17.7,-196
56:17.7,-173
56:17.8,-154
56:17.8,-138
56:17.8,-126
56:17.8,-113
56:17.9,-101
56:17.9,-90
56:17.9,-83
56:17.9,-80
56:17.9,-84
56:18.0,-88
56:18.0,-92
56:18.0,-91
56:18.0,-90
56:18.0,-85
56:18.1,-81
56:18.1,-76
56:18.1,-70
56:18.1,-63
56:18.1,-59
56:18.2,-57
56:18.2,-54
56:18.2,-53
56:18.2,-53
56:18.2,-54
56:18.3,-56
56:18.3,-58
56:18.3,-60
56:18.3,-62
56:18.3,-63
56:18.3,-63
56:18.4,-64
56:18.4,-76
56:18.4,-129
56:18.4,-204
56:18.5,-250
56:18.5,-269
56:18.5,-269
56:18.5,-253
56:18.5,-233
56:18.6,-208
56:18.6,-185
56:18.6,-162
56:18.6,-143
56:18.7,-128
56:18.7,-114
56:18.7,-100
56:18.7,-87
56:18.7,-78
56:18.8,-73
56:18.8,-73
56:18.8,-77
56:18.8,-81
56:18.8,-84
56:18.8,-84
56:18.8,-83
56:18.9,-80
56:18.9,-75
56:18.9,-71
56:18.9,-67
56:18.9,-62
56:19.0,-59
56:19.0,-56
56:19.0,-55
56:19.0,-54
56:19.1,-54
56:19.1,-55
56:19.1,-57
56:19.1,-60
56:19.1,-60
56:19.2,-61
56:19.2,-62
56:19.2,-63
56:19.2,-65
56:19.2,-86
56:19.2,-146
56:19.3,-215
56:19.3,-254
56:19.3,-267
56:19.4,-262
56:19.4,-246
56:19.4,-222
56:19.4,-197
56:19.4,-172
56:19.4,-151
56:19.4,-135
56:19.5,-122
56:19.5,-108
56:19.5,-96
56:19.6,-86
56:19.6,-78
56:19.6,-76
56:19.6,-79
56:19.6,-85
56:19.6,-90
56:19.7,-92
56:19.7,-91
56:19.7,-88
56:19.7,-83
56:19.7,-77
56:19.7,-70
56:19.8,-65
56:19.8,-62
56:19.8,-58
56:19.8,-57
56:19.9,-57
56:19.9,-56
56:19.9,-59
56:19.9,-60
56:19.9,-61
56:20.0,-63
56:20.0,-64
56:20.0,-65
56:20.0,-64
56:20.0,-73
56:20.1,-113
56:20.1,-185
56:20.1,-239
56:20.1,-264
56:20.1,-265
56:20.1,-254
56:20.2,-235
56:20.2,-212
56:20.2,-187
56:20.2,-164
56:20.3,-147
56:20.3,-131
56:20.3,-118
56:20.3,-107
56:20.3,-95
56:20.3,-84
56:20.4,-77
56:20.4,-77
56:20.4,-79
56:20.4,-83
56:20.5,-86
56:20.5,-86
56:20.5,-85
56:20.5,-81
56:20.6,-77
56:20.6,-72
56:20.6,-67
56:20.6,-63
56:20.6,-60
56:20.7,-57
56:20.7,-55
56:20.7,-54
56:20.7,-54
56:20.7,-54
56:20.7,-57
56:20.8,-58
56:20.8,-59
56:20.8,-60
56:20.8,-62
56:20.8,-62
56:20.9,-61
56:20.9,-66
56:20.9,-95
56:20.9,-165
56:20.9,-225
56:21.0,-258
56:21.0,-265
56:21.0,-257
56:21.0,-236
