Time,Pleth
01:43.8,-56
01:43.8,-55
01:43.8,-57
01:43.9,-57
01:43.9,-58
01:43.9,-59
01:43.9,-70
01:44.0,-123
01:44.0,-201
01:44.0,-256
01:44.0,-280
01:44.0,-282
01:44.1,-267
01:44.1,-244
01:44.1,-216
01:44.1,-188
01:44.2,-162
01:44.2,-141
01:44.2,-121
01:44.2,-106
01:44.2,-91
01:44.2,-78
01:44.2,-67
01:44.3,-63
01:44.3,-66
01:44.3,-74
01:44.3,-83
01:44.4,-91
01:44.4,-95
01:44.4,-94
01:44.4,-90
01:44.4,-84
01:44.4,-75
01:44.5,-68
01:44.5,-61
01:44.5,-57
01:44.5,-54
01:44.5,-53
01:44.6,-53
01:44.6,-54
01:44.6,-54
01:44.7,-56
01:44.7,-56
01:44.7,-57
01:44.7,-60
01:44.7,-72
01:44.7,-127
01:44.7,-206
01:44.8,-259
01:44.8,-280
01:44.8,-280
01:44.9,-267
01:44.9,-242
01:44.9,-214
01:44.9,-185
01:44.9,-159
01:44.9,-137
01:45.0,-119
01:45.0,-103
01:45.0,-89
01:45.0,-75
01:45.0,-65
01:45.0,-61
01:45.1,-62
01:45.1,-68
01:45.1,-75
01:45.1,-82
01:45.2,-86
01:45.2,-86
01:45.2,-82
01:45.2,-76
01:45.2,-70
01:45.2,-62
01:45.3,-57
01:45.3,-52
01:45.3,-49
01:45.3,-47
01:45.4,-46
01:45.4,-45
01:45.4,-47
01:45.4,-49
01:45.4,-51
01:45.5,-53
01:45.5,-54
01:45.5,-54
01:45.5,-60
01:45.5,-96
01:45.5,-172
01:45.6,-238
01:45.6,-270
01:45.6,-278
01:45.6,-267
01:45.6,-245
01:45.7,-215
01:45.7,-183
01:45.7,-157
01:45.7,-132
01:45.8,-113
01:45.8,-97
01:45.8,-83
01:45.8,-69
01:45.8,-59
01:45.8,-54
01:45.9,-57
01:45.9,-65
01:45.9,-75
01:46.0,-85
01:46.0,-90
01:46.0,-92
01:46.0,-91
01:46.0,-86
01:46.0,-80
01:46.1,-75
01:46.1,-69
01:46.1,-63
01:46.1,-59
01:46.1,-56
01:46.1,-55
01:46.2,-55
01:46.2,-56
01:46.2,-59
01:46.2,-59
01:46.2,-60
01:46.3,-59
01:46.3,-61
01:46.3,-81
01:46.3,-146
01:46.4,-217
01:46.4,-258
01:46.4,-273
01:46.4,-271
01:46.4,-257
01:46.4,-233
01:46.5,-205
01:46.5,-178
01:46.5,-154
01:46.5,-131
01:46.6,-115
01:46.6,-99
01:46.6,-84
01:46.6,-73
01:46.7,-65
01:46.7,-65
01:46.7,-70
01:46.7,-79
01:46.7,-88
01:46.7,-93
01:46.8,-94
01:46.8,-91
01:46.8,-87
01:46.8,-81
01:46.8,-74
01:46.8,-69
01:46.9,-64
01:46.9,-60
01:46.9,-57
01:46.9,-56
01:47.0,-55
01:47.0,-55
01:47.0,-56
01:47.0,-57
01:47.1,-58
01:47.1,-60
01:47.1,-61
01:47.1,-73
01:47.1,-127
01:47.1,-202
01:47.2,-250
01:47.2,-270
01:47.2,-269
01:47.2,-255
01:47.2,-234
01:47.2,-206
01:47.3,-181
01:47.3,-157
01:47.3,-135
01:47.3,-117
01:47.4,-100
01:47.4,-85
01:47.4,-72
01:47.4,-62
01:47.5,-57
01:47.5,-61
01:47.5,-69
01:47.5,-79
01:47.5,-86
01:47.5,-87
01:47.6,-88
01:47.6,-86
01:47.6,-79
01:47.6,-72
01:47.6,-64
01:47.6,-59
01:47.7,-58
01:47.7,-55
01:47.7,-55
01:47.7,-55
01:47.8,-55
01:47.8,-54
01:47.8,-54
01:47.8,-53
01:47.8,-53
01:47.8,-55
01:47.9,-58
01:47.9,-82
01:47.9,-152
01:48.0,-221
01:48.0,-259
01:48.0,-270
01:48.0,-263
01:48.0,-244
01:48.0,-219
01:48.1,-193
01:48.1,-167
01:48.1,-145
01:48.1,-126
01:48.2,-109
01:48.2,-93
01:48.2,-78
01:48.2,-65
01:48.2,-59
01:48.2,-60
01:48.3,-66
01:48.3,-76
01:48.3,-84
01:48.3,-89
01:48.3,-92
01:48.3,-89
01:48.4,-86
01:48.4,-80
01:48.4,-71
01:48.4,-66
01:48.5,-60
01:48.5,-55
01:48.5,-52
01:48.5,-51
01:48.5,-52
01:48.6,-52
01:48.6,-52
01:48.6,-53
01:48.6,-55
01:48.7,-58
01:48.7,-61
01:48.7,-78
01:48.7,-138
01:48.7,-211
01:48.7,-259
01:48.7,-275
01:48.8,-272
01:48.8,-255
01:48.8,-229
01:48.8,-198
01:48.9,-168
01:48.9,-147
01:48.9,-129
01:48.9,-114
01:49.0,-103
01:49.0,-92
01:49.0,-82
01:49.0,-76
01:49.0,-74
